TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
  103.87  108.37   54.54  <-- Euler angles (deg) of phase ellipsoid axes
B       500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
 -173.75  123.95 -144.27   0.0003500
TEXTURE AT STRAIN =    1.0000
   2.705   2.778   0.111  <-- length of phase ellipsoid axes
  169.45  101.00   42.77  <-- Euler angles (deg) of phase ellipsoid axes
B       500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
 -171.73   47.77 -166.02   0.0003500
