TEXTURE AT STRAIN =    0.0000
   1.000   1.000   1.000  <-- length of phase ellipsoid axes
 -133.20  126.22  106.62  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
  114.58  128.70 -100.77   0.0016500
TEXTURE AT STRAIN =    0.9000
   1.218   1.308   0.624  <-- length of phase ellipsoid axes
 -161.84    1.39 -172.71  <-- Euler angles (deg) of phase ellipsoid axes
B       500
  114.57  130.00 -100.17   0.0016500
  114.57  130.00 -100.17   0.0016500
  114.57  130.00 -100.17   0.0016500
  114.57  130.00 -100.17   0.0016500
  114.57  130.00 -100.17   0.0016500
  114.57  130.00 -100.17   0.0016500
  114.57  130.00 -100.17   0.0016500
  114.57  130.00 -100.17   0.0016500
  114.57  130.00 -100.17   0.0016500
  114.57  130.00 -100.17   0.0016500
  114.57  130.00 -100.17   0.0016500
  114.57  130.00 -100.17   0.0016500
  114.57  130.00 -100.17   0.0016500
  114.57  130.00 -100.17   0.0016500
  114.57  130.00 -100.17   0.0016500
  114.57  130.00 -100.17   0.0016500
  114.57  130.00 -100.17   0.0016500
  114.57  130.00 -100.17   0.0016500
  114.57  130.00 -100.17   0.0016500
  114.57  130.00 -100.17   0.0016500
  114.57  130.00 -100.17   0.0016500
  114.57  130.00 -100.17   0.0016500
  114.57  130.00 -100.17   0.0016500
  114.57  130.00 -100.17   0.0016500
  114.57  130.00 -100.17   0.0016500
  114.57  130.00 -100.17   0.0016500
  114.57  130.00 -100.17   0.0016500
